trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2942,False,"{'a': 0.001, 'e': 0.052760102941878724}",25,10,24.034066147152288,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2943,False,"{'a': 0.001, 'e': 0.05270736921019717}",20,14,12.05776211588996,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2944,False,"{'a': 0.001, 'e': 0.05265468818588921}",35,17,33.51895271223756,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2945,False,"{'a': 0.001, 'e': 0.05260205981627384}",25,20,9.977509657174272,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2946,False,"{'a': 0.001, 'e': 0.05254948404872264}",35,18,36.137042689452514,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2947,False,"{'a': 0.001, 'e': 0.05249696083065988}",20,15,11.61618219405275,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2948,False,"{'a': 0.001, 'e': 0.05244449010956234}",20,14,12.573709361132188,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2949,False,"{'a': 0.001, 'e': 0.052392071832959276}",20,10,19.52560944314271,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2950,False,"{'a': 0.001, 'e': 0.05233970594843238}",25,17,19.04323360890813,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2951,False,"{'a': 0.001, 'e': 0.05228739240361583}",30,13,21.553838894304267,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
2952,False,"{'a': 0.001, 'e': 0.05223513114619603}",25,16,20.550241139376567,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2953,False,"{'a': 0.001, 'e': 0.052182922123911735}",25,16,4.050495215410766,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
2954,False,"{'a': 0.001, 'e': 0.05213076528455389}",25,11,23.728108963768154,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2955,False,"{'a': 0.001, 'e': 0.05207866057596569}",25,11,26.079526997203505,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2956,False,"{'a': 0.001, 'e': 0.052026607946042414}",20,7,27.717228747605937,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2957,False,"{'a': 0.001, 'e': 0.05197460734273142}",25,6,34.73767915908603,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
2958,False,"{'a': 0.001, 'e': 0.05192265871403207}",30,23,11.838935696273106,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2959,False,"{'a': 0.001, 'e': 0.051870762007995785}",20,16,10.55109526240582,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2960,False,"{'a': 0.001, 'e': 0.05181891717272583}",30,24,11.789095835255818,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2961,False,"{'a': 0.001, 'e': 0.051767124156377374}",20,6,10.134289838817493,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
2962,False,"{'a': 0.001, 'e': 0.05171538290715736}",20,12,15.00016558972296,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2963,False,"{'a': 0.001, 'e': 0.05166369337332458}",25,13,26.859602716953525,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2964,False,"{'a': 0.001, 'e': 0.05161205550318949}",30,20,4.932859762756479,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
2965,False,"{'a': 0.001, 'e': 0.0515604692451142}",20,3,14.200589048372455,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
2966,False,"{'a': 0.001, 'e': 0.051508934547512424}",25,9,28.71438512072403,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2967,False,"{'a': 0.001, 'e': 0.051457451358849514}",20,12,13.944581115227205,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2968,False,"{'a': 0.001, 'e': 0.051406019627642255}",20,15,2.8273120620417282,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
2969,False,"{'a': 0.001, 'e': 0.051354639302458906}",25,4,35.14934595781419,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
2970,False,"{'a': 0.001, 'e': 0.05130331033191911}",25,5,29.593226655110364,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2971,False,"{'a': 0.001, 'e': 0.05125203266469395}",20,7,25.909903095391165,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2972,False,"{'a': 0.001, 'e': 0.05120080624950572}",20,5,26.397565784726957,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2973,False,"{'a': 0.001, 'e': 0.05114963103512801}",25,11,4.915975319364301,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
2974,False,"{'a': 0.001, 'e': 0.05109850697038558}",20,0,32.48227827091188,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2975,False,"{'a': 0.001, 'e': 0.051047434004154395}",20,13,14.018076045055228,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2976,False,"{'a': 0.001, 'e': 0.050996412085361466}",35,19,26.33092728079793,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
2977,False,"{'a': 0.001, 'e': 0.05094544116298488}",20,8,21.712303873447,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2978,False,"{'a': 0.001, 'e': 0.05089452118605367}",20,1,0.33152584923955897,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
2979,False,"{'a': 0.001, 'e': 0.05084365210364792}",20,16,6.868732798707445,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2980,False,"{'a': 0.001, 'e': 0.0507928338648985}",20,15,11.04636670063219,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2981,False,"{'a': 0.001, 'e': 0.05074206641898719}",30,15,27.69229243193414,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2982,False,"{'a': 0.001, 'e': 0.050691349715146494}",20,2,7.070234355800432,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
2983,False,"{'a': 0.001, 'e': 0.05064068370265976}",20,6,22.701471012957143,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2984,False,"{'a': 0.001, 'e': 0.05059006833086096}",25,11,25.126476202269426,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2985,False,"{'a': 0.001, 'e': 0.050539503549134696}",30,20,19.085091708389115,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2986,False,"{'a': 0.001, 'e': 0.05048898930691617}",20,7,10.659700129311917,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
2987,False,"{'a': 0.001, 'e': 0.05043852555369119}",20,5,12.834320975834439,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
